<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
FLC,20210806,11.4500,11.9000,11.3500,11.6000,26259100,11.4500,11.9000,11.3500,11.6000,0,32500,460000
FLC,20210805,11.4000,11.5500,11.2000,11.4500,14775100,11.4000,11.5500,11.2000,11.4500,0,52100,152600
FLC,20210804,11.1500,11.6000,11.1000,11.4000,20054400,11.1500,11.6000,11.1000,11.4000,0,0,0
FLC,20210803,11.0000,11.4000,10.8000,11.0500,26078300,11.0000,11.4000,10.8000,11.0500,0,121000,350500
FLC,20210802,11.2000,11.3000,10.8500,10.9000,21821800,11.2000,11.3000,10.8500,10.9000,0,121000,350500
FLC,20210730,11.0500,11.3000,10.9500,11.1500,13831800,11.0500,11.3000,10.9500,11.1500,0,111000,360500
FLC,20210729,11.0000,11.2000,10.9000,11.0000,8508200,11.0000,11.2000,10.9000,11.0000,0,23600,241100
FLC,20210728,10.7500,11.0000,10.7500,10.9000,5349400,10.7500,11.0000,10.7500,10.9000,0,0,0
FLC,20210727,10.7000,11.3000,10.7000,10.8500,34662800,10.7000,11.3000,10.7000,10.8500,0,84500,859400
FLC,20210726,10.4000,10.8500,10.4000,10.6000,10321300,10.4000,10.8500,10.4000,10.6000,0,390400,189800
FLC,20210723,10.9000,11.0500,10.6000,10.6000,12337300,10.9000,11.0500,10.6000,10.6000,0,118700,356400
FLC,20210722,10.9500,11.5000,10.6000,11.0000,27777700,10.9500,11.5000,10.6000,11.0000,0,431300,4700
FLC,20210721,11.2000,11.2000,10.7500,10.8500,12398100,11.2000,11.2000,10.7500,10.8500,0,115800,792900
FLC,20210720,10.5000,11.0000,10.1500,11.0000,16040600,10.5000,11.0000,10.1500,11.0000,0,794900,69800
FLC,20210719,10.5000,10.7000,10.3000,10.3000,37445000,10.5000,10.7000,10.3000,10.3000,0,278300,83300
FLC,20210716,11.3500,11.6000,11.0500,11.0500,21882800,11.3500,11.6000,11.0500,11.0500,0,13300,360100
FLC,20210715,11.5000,12.1000,11.3000,11.5000,19021600,11.5000,12.1000,11.3000,11.5000,0,54000,19300
FLC,20210714,11.7000,11.8500,10.8000,11.8000,43493500,11.7000,11.8500,10.8000,11.8000,0,73800,1475900
FLC,20210713,10.0500,11.1000,10.0500,11.1000,30169900,10.0500,11.1000,10.0500,11.1000,0,835600,89200
FLC,20210712,10.7000,10.9500,10.4000,10.4000,26659400,10.7000,10.9500,10.4000,10.4000,0,532900,35100
FLC,20210709,11.6000,11.8000,11.0000,11.1500,37061700,11.6000,11.8000,11.0000,11.1500,0,256000,771500
FLC,20210708,11.9000,12.3000,11.7500,11.8000,14147900,11.9000,12.3000,11.7500,11.8000,0,958400,48800
FLC,20210707,11.9500,12.4000,11.6000,11.9000,17112300,11.9500,12.4000,11.6000,11.9000,0,439800,55800
FLC,20210706,12.3000,13.0000,11.9000,11.9000,28635800,12.3000,13.0000,11.9000,11.9000,0,0,0
FLC,20210705,13.0500,13.0500,12.3000,12.3000,31346200,13.0500,13.0500,12.3000,12.3000,0,946500,303100
FLC,20210702,13.7000,13.7000,13.0500,13.0500,15222600,13.7000,13.7000,13.0500,13.0500,0,0,0
FLC,20210701,13.3000,13.6500,12.8000,13.4000,32162400,13.3000,13.6500,12.8000,13.4000,0,67600,196200
FLC,20210630,13.6000,13.9500,13.3000,13.3000,20986200,13.6000,13.9500,13.3000,13.3000,50000,42200,280500
FLC,20210629,13.8000,13.8500,13.4500,13.6500,22681800,13.8000,13.8500,13.4500,13.6500,0,17500,103800
FLC,20210628,13.9000,14.4000,13.6500,13.7000,23152000,13.9000,14.4000,13.6500,13.7000,180000,0,0
FLC,20210625,14.0000,14.0000,13.4500,13.9500,27412800,14.0000,14.0000,13.4500,13.9500,0,208000,291700
FLC,20210624,13.7000,14.2000,13.7000,13.9500,20385600,13.7000,14.2000,13.7000,13.9500,0,236700,829500
FLC,20210623,14.5500,14.6000,13.6000,13.7000,47007600,14.5500,14.6000,13.6000,13.7000,340000,44200,902900
FLC,20210622,14.2500,14.6000,13.6500,14.5500,44353500,14.2500,14.6000,13.6500,14.5500,0,10680,42660
FLC,20210621,14.4000,14.9000,14.1000,14.4000,44848500,14.4000,14.9000,14.1000,14.4000,50000,111600,724100
FLC,20210618,15.0000,15.3500,14.3500,15.1500,52998000,15.0000,15.3500,14.3500,15.1500,0,188600,565200
FLC,20210617,13.5000,14.7000,13.4500,14.7000,50669900,13.5000,14.7000,13.4500,14.7000,0,27300,254100
FLC,20210616,13.0500,13.7500,13.0500,13.7500,28986700,13.0500,13.7500,13.0500,13.7500,0,27300,254100
FLC,20210615,13.0500,13.4500,12.9500,13.2000,16038500,13.0500,13.4500,12.9500,13.2000,0,352800,46200
FLC,20210614,13.1500,13.6500,12.7000,13.0500,29503700,13.1500,13.6500,12.7000,13.0500,0,642500,271200
FLC,20210611,13.1000,13.6000,13.0000,13.1500,17270200,13.1000,13.6000,13.0000,13.1500,0,301100,15100
FLC,20210610,12.9500,13.5500,12.7500,13.1000,16654300,12.9500,13.5500,12.7500,13.1000,50000,105900,498500
FLC,20210609,12.7000,13.3000,12.5000,12.9500,24532800,12.7000,13.3000,12.5000,12.9500,0,1258600,315400
FLC,20210608,13.4500,14.0000,12.6500,12.7000,30425600,13.4500,14.0000,12.6500,12.7000,0,142800,109600
FLC,20210607,14.3000,14.3000,13.3000,13.4500,31796800,14.3000,14.3000,13.3000,13.4500,0,696000,54800
FLC,20210604,13.9500,14.7500,13.5500,14.3000,37694300,13.9500,14.7500,13.5500,14.3000,0,1178700,461300
FLC,20210603,13.0500,13.9500,13.6000,13.9500,35217800,13.0500,13.9500,13.6000,13.9500,0,3121100,57700
FLC,20210602,12.2000,13.0500,12.4000,13.0500,59530400,12.2000,13.0500,12.4000,13.0500,86100,868800,648000
FLC,20210601,11.9500,12.3500,11.8000,12.2000,12329000,11.9500,12.3500,11.8000,12.2000,0,1107700,94300
FLC,20210531,12.1500,12.3500,11.7500,11.9500,13974900,12.1500,12.3500,11.7500,11.9500,0,326700,284100
FLC,20210528,11.4000,12.1500,11.3000,12.1500,29359100,11.4000,12.1500,11.3000,12.1500,21700,461100,21100
FLC,20210527,11.8000,12.1500,11.3500,11.4000,26071800,11.8000,12.1500,11.3500,11.4000,0,1069700,28000
FLC,20210526,12.1500,12.3000,11.8000,11.8000,23950600,12.1500,12.3000,11.8000,11.8000,0,738200,13800
FLC,20210525,12.1500,12.4000,12.0000,12.1500,17369200,12.1500,12.4000,12.0000,12.1500,0,21920,430
FLC,20210524,12.7000,12.8000,12.1000,12.1500,28308500,12.7000,12.8000,12.1000,12.1500,180000,219200,4300
FLC,20210521,12.1000,12.7500,11.9500,12.7000,22337800,12.1000,12.7500,11.9500,12.7000,0,91400,23100
FLC,20210520,12.8000,12.8500,12.0500,12.1000,18741500,12.8000,12.8500,12.0500,12.1000,0,64500,85500
FLC,20210519,12.4500,13.1500,12.3000,12.8000,36943900,12.4500,13.1500,12.3000,12.8000,0,113100,299700
FLC,20210518,12.3000,13.0000,12.1500,12.4500,23922900,12.3000,13.0000,12.1500,12.4500,0,18000,105300
FLC,20210517,12.2500,13.0500,12.3000,12.3000,34554300,12.2500,13.0500,12.3000,12.3000,0,92000,385000
FLC,20210514,11.4500,12.2500,11.4500,12.2500,41871100,11.4500,12.2500,11.4500,12.2500,190000,41800,71300
FLC,20210513,11.5500,11.8000,11.4500,11.4500,12510600,11.5500,11.8000,11.4500,11.4500,265000,58800,85000
FLC,20210512,11.6000,11.8000,11.0000,11.5500,30483800,11.6000,11.8000,11.0000,11.5500,600000,77800,330800
FLC,20210511,11.2500,12.0000,11.2500,11.6000,22518800,11.2500,12.0000,11.2500,11.6000,0,187800,426900
FLC,20210510,11.5000,11.7500,11.0000,11.2500,14653300,11.5000,11.7500,11.0000,11.2500,0,12800,455100
FLC,20210507,11.3000,11.5500,10.7000,11.5000,34978000,11.3000,11.5500,10.7000,11.5000,2365000,256800,435200
FLC,20210506,11.1500,11.9000,11.2000,11.3000,40175500,11.1500,11.9000,11.2000,11.3000,0,256800,435200
FLC,20210505,10.4500,11.1500,10.6000,11.1500,16818800,10.4500,11.1500,10.6000,11.1500,200000,25100,63200
FLC,20210504,11.0500,11.0500,10.3000,10.4500,37226000,11.0500,11.0500,10.3000,10.4500,190000,281000,1040500
FLC,20210429,11.0500,11.5000,10.6500,11.0500,30480200,11.0500,11.5000,10.6500,11.0500,0,250700,551900
FLC,20210428,11.0500,11.3000,10.7500,11.0500,23296300,11.0500,11.3000,10.7500,11.0500,0,958200,49900
FLC,20210427,11.7000,11.9500,11.0500,11.0500,20625900,11.7000,11.9500,11.0500,11.0500,0,424400,134800
FLC,20210426,12.4000,12.4500,11.5500,11.7000,53070200,12.4000,12.4500,11.5500,11.7000,0,49000,939400
FLC,20210423,12.1500,12.8000,11.8000,12.4000,18168000,12.1500,12.8000,11.8000,12.4000,0,722600,55500
FLC,20210422,12.8000,13.0500,11.9500,12.1500,38103800,12.8000,13.0500,11.9500,12.1500,0,148400,1110000
FLC,20210420,13.1000,13.5000,12.2500,12.8000,37824600,13.1000,13.5000,12.2500,12.8000,0,308800,438700
FLC,20210419,13.8500,13.8500,13.0000,13.1000,43020000,13.8500,13.8500,13.0000,13.1000,0,179900,681300
FLC,20210416,13.2500,14.1000,12.9000,13.8500,61848200,13.2500,14.1000,12.9000,13.8500,0,2663100,83600
FLC,20210415,12.4000,13.2500,13.1000,13.2500,28961200,12.4000,13.2500,13.1000,13.2500,0,499400,57400
FLC,20210414,11.6000,12.4000,11.1500,12.4000,41687400,11.6000,12.4000,11.1500,12.4000,0,448900,91300
FLC,20210413,12.3000,12.4000,11.6000,11.6000,27199600,12.3000,12.4000,11.6000,11.6000,0,77400,428200
FLC,20210412,12.0000,12.3500,11.4000,12.3000,49034600,12.0000,12.3500,11.4000,12.3000,0,459400,285200
FLC,20210409,11.8000,12.2500,11.7500,12.0000,22070500,11.8000,12.2500,11.7500,12.0000,304700,678500,255500
FLC,20210408,11.5000,11.8000,10.7000,11.8000,35432300,11.5000,11.8000,10.7000,11.8000,0,112300,596400
FLC,20210407,12.2000,12.2000,11.4000,11.5000,34153900,12.2000,12.2000,11.4000,11.5000,0,81200,378500
FLC,20210406,12.5000,12.6000,11.7000,12.2000,26319400,12.5000,12.6000,11.7000,12.2000,100000,66800,289700
FLC,20210405,12.2000,12.6500,11.9500,12.5000,25924300,12.2000,12.6500,11.9500,12.5000,0,542500,133000
FLC,20210402,12.0500,12.3000,11.4000,12.2000,29442400,12.0500,12.3000,11.4000,12.2000,300000,338000,128600
FLC,20210401,12.7500,12.7500,11.9000,12.0500,39375800,12.7500,12.7500,11.9000,12.0500,0,252800,1289900
FLC,20210331,12.6000,13.3000,11.7500,12.7500,68628200,12.6000,13.3000,11.7500,12.7500,0,350700,1071800
FLC,20210330,11.8000,12.6000,11.9000,12.6000,47856100,11.8000,12.6000,11.9000,12.6000,0,109200,868800
FLC,20210329,11.0500,11.8000,11.2000,11.8000,37992700,11.0500,11.8000,11.2000,11.8000,0,36900,1569500
FLC,20210326,10.4500,11.1500,10.1000,11.0500,52547400,10.4500,11.1500,10.1000,11.0500,0,322900,1602900
FLC,20210325,9.7900,10.4500,9.3600,10.4500,55471500,9.7900,10.4500,9.3600,10.4500,0,103500,587700
FLC,20210324,9.1800,9.8100,8.9000,9.7900,42615000,9.1800,9.8100,8.9000,9.7900,0,262400,1004900
FLC,20210323,8.5800,9.1800,8.6000,9.1800,45073300,8.5800,9.1800,8.6000,9.1800,0,767300,406900
FLC,20210322,8.0200,8.5800,8.2000,8.5800,45886600,8.0200,8.5800,8.2000,8.5800,200000,456900,192600
FLC,20210319,7.5000,8.0200,7.3900,8.0200,26294900,7.5000,8.0200,7.3900,8.0200,0,919900,113900
FLC,20210318,7.2000,7.5600,7.0500,7.5000,22217100,7.2000,7.5600,7.0500,7.5000,0,595600,78400
FLC,20210317,7.7000,7.7900,7.1700,7.2000,51129400,7.7000,7.7900,7.1700,7.2000,0,404800,495600
FLC,20210316,7.3800,7.7500,7.4500,7.7000,33384000,7.3800,7.7500,7.4500,7.7000,0,193100,35600
FLC,20210315,6.9000,7.3800,7.1500,7.3800,34200700,6.9000,7.3800,7.1500,7.3800,0,332300,160900
FLC,20210312,6.6200,6.9800,6.7500,6.9000,22284800,6.6200,6.9800,6.7500,6.9000,0,307800,112100
FLC,20210311,6.5900,6.6800,6.3500,6.6200,27336400,6.5900,6.6800,6.3500,6.6200,0,24500,16600
FLC,20210310,6.5000,6.6500,6.4500,6.5900,14028300,6.5000,6.6500,6.4500,6.5900,0,163300,69800
FLC,20210309,6.3500,6.6800,6.3500,6.5000,14575800,6.3500,6.6800,6.3500,6.5000,0,559400,36100
